category;genes;over_represented_pvalue;under_represented_pvalue;numDEInCat;numInCat;term;ontology
GO:0003779;Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004;0.001614707;0.999802717;5;31;actin binding;MF
GO:0046556;Pastreoides09358, Pastreoides43782, Pastreoides43783, Pastreoides09317, Pastreoides09318;0.0000163;0.999999367;5;15;alpha-L-arabinofuranosidase activity;MF
GO:0005509;Pastreoides15767, Pastreoides15356, Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides21522, Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004, Pastreoides60702, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides29741, Pastreoides29748, Pastreoides48811, Pastreoides22120, Pastreoides00779, Pastreoides51593, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides44483, Pastreoides56068, Pastreoides49581, Pastreoides49597, Pastreoides49016;5.59E-05;0.999976306;32;564;calcium ion binding;MF
GO:0007155;Pastreoides45726, Pastreoides55184, Pastreoides55189, Pastreoides59744, Pastreoides63155, Pastreoides63156, Pastreoides51527, Pastreoides29748, Pastreoides48811, Pastreoides51593, Pastreoides39610, Pastreoides39611, Pastreoides39612, Pastreoides36586, Pastreoides36592, Pastreoides36602, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides48999;1.76E-11;1;21;119;cell adhesion;BP
GO:0007154;Pastreoides17846, Pastreoides17850, Pastreoides17852, Pastreoides17853, Pastreoides17841, Pastreoides17842;0.000211202;0.999980586;6;18;cell communication;BP
GO:0005938;Pastreoides13513;0.019006163;1;1;1;cell cortex;CC
GO:0006897;Pastreoides45726, Pastreoides45722, Pastreoides55184, Pastreoides55188, Pastreoides55189, Pastreoides55191, Pastreoides59744, Pastreoides63156, Pastreoides48811, Pastreoides39611, Pastreoides39627, Pastreoides39629, Pastreoides36590, Pastreoides36592, Pastreoides49583, Pastreoides49597, Pastreoides49000, Pastreoides49017;2.01E-11;1;18;86;endocytosis;BP
GO:0005576;Pastreoides07879, Pastreoides06605, Pastreoides19582, Pastreoides57951, Pastreoides08987, Pastreoides44077, Pastreoides54014, Pastreoides33698, Pastreoides13549;0.016978512;0.993927093;9;154;extracellular region;CC
GO:0005925;Pastreoides13513;0.019006163;1;1;1;focal adhesion;CC
GO:0004965;Pastreoides06045;0.027735769;0.999805064;1;2;G protein-coupled GABA receptor activity;MF
GO:0008528;Pastreoides55339;0.036656114;0.999657949;1;2;G protein-coupled peptide receptor activity;MF
GO:0003924;Pastreoides40391, Pastreoides20874, Pastreoides28990, Pastreoides41244, Pastreoides47067;0.005875028;0.998998513;5;45;GTPase activity;MF
GO:0007156;Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides48811, Pastreoides22120, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides49016;1.31E-16;1;17;39;homophilic cell adhesion via plasma membrane adhesion molecules;BP
GO:0016021;Pastreoides16631, Pastreoides60310, Pastreoides42900, Pastreoides40819, Pastreoides40809, Pastreoides31786, Pastreoides25574, Pastreoides15767, Pastreoides57590, Pastreoides15356, Pastreoides10919, Pastreoides46747, Pastreoides04024, Pastreoides34312, Pastreoides06474, Pastreoides06476, Pastreoides06492, Pastreoides00007, Pastreoides00104, Pastreoides39663, Pastreoides12550, Pastreoides29132, Pastreoides61092, Pastreoides34071, Pastreoides06045, Pastreoides63365, Pastreoides30758, Pastreoides39530, Pastreoides31271, Pastreoides24782, Pastreoides40843, Pastreoides58621, Pastreoides07157, Pastreoides07164, Pastreoides63733, Pastreoides63736, Pastreoides02281, Pastreoides39281, Pastreoides57951, Pastreoides00795, Pastreoides00796, Pastreoides02851, Pastreoides39684, Pastreoides16373, Pastreoides60733, Pastreoides60735, Pastreoides10388, Pastreoides19366, Pastreoides19356, Pastreoides22120, Pastreoides21911, Pastreoides37803, Pastreoides51385, Pastreoides38082, Pastreoides63996, Pastreoides00779, Pastreoides22336, Pastreoides22347, Pastreoides10814, Pastreoides16515, Pastreoides45920, Pastreoides60795, Pastreoides36574, Pastreoides19235, Pastreoides57178, Pastreoides36880, Pastreoides54014, Pastreoides32989, Pastreoides28930, Pastreoides38065, Pastreoides33698, Pastreoides35874, Pastreoides50044, Pastreoides59403, Pastreoides59404, Pastreoides59405, Pastreoides36592, Pastreoides01035, Pastreoides55339, Pastreoides17846, Pastreoides17850, Pastreoides17852, Pastreoides17853, Pastreoides17841, Pastreoides17842, Pastreoides17196, Pastreoides02544, Pastreoides44483, Pastreoides09191, Pastreoides25476, Pastreoides27978, Pastreoides20644, Pastreoides20652, Pastreoides33641, Pastreoides21229, Pastreoides41244, Pastreoides57522, Pastreoides59169, Pastreoides57764, Pastreoides10219, Pastreoides33933, Pastreoides33935;0.002252481;0.998403285;102;2721;integral component of membrane;CC
GO:0032039;Pastreoides31698;0.021458874;1;1;1;integrator complex;CC
GO:0045104;Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004;2.35E-05;0.999999058;5;13;intermediate filament cytoskeleton organization;BP
GO:0046373;Pastreoides09358, Pastreoides43782, Pastreoides43783, Pastreoides09317, Pastreoides09318;0.0000163;0.999999367;5;15;L-arabinose metabolic process;BP
GO:0008289;Pastreoides57951, Pastreoides08987, Pastreoides54014, Pastreoides33698;0.004816786;0.999434295;4;25;lipid binding;MF
GO:0042157;Pastreoides57951, Pastreoides08987, Pastreoides54014, Pastreoides33698;6.11E-05;0.999998436;4;8;lipoprotein metabolic process;BP
GO:0016020;Pastreoides16631, Pastreoides60310, Pastreoides42900, Pastreoides25129, Pastreoides40819, Pastreoides40809, Pastreoides15420, Pastreoides25574, Pastreoides47522, Pastreoides07895, Pastreoides15767, Pastreoides57590, Pastreoides15356, Pastreoides46747, Pastreoides04024, Pastreoides34312, Pastreoides06474, Pastreoides06476, Pastreoides45726, Pastreoides45722, Pastreoides00007, Pastreoides00104, Pastreoides39663, Pastreoides55184, Pastreoides55188, Pastreoides55189, Pastreoides55191, Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004, Pastreoides31314, Pastreoides07350, Pastreoides59744, Pastreoides03710, Pastreoides12550, Pastreoides63155, Pastreoides63156, Pastreoides29132, Pastreoides61092, Pastreoides34071, Pastreoides06045, Pastreoides63365, Pastreoides51527, Pastreoides30758, Pastreoides39530, Pastreoides31271, Pastreoides40843, Pastreoides58621, Pastreoides07157, Pastreoides07158, Pastreoides07164, Pastreoides63737, Pastreoides63734, Pastreoides02281, Pastreoides39281, Pastreoides02851, Pastreoides39684, Pastreoides16373, Pastreoides26948, Pastreoides48811, Pastreoides60733, Pastreoides60735, Pastreoides10388, Pastreoides19366, Pastreoides19356, Pastreoides63712, Pastreoides37803, Pastreoides51385, Pastreoides38082, Pastreoides28519, Pastreoides63996, Pastreoides00779, Pastreoides25847, Pastreoides22336, Pastreoides22347, Pastreoides16515, Pastreoides45920, Pastreoides43904, Pastreoides05739, Pastreoides36574, Pastreoides19235, Pastreoides57178, Pastreoides20070, Pastreoides36880, Pastreoides32989, Pastreoides28930, Pastreoides28931, Pastreoides38065, Pastreoides35865, Pastreoides35874, Pastreoides50044, Pastreoides59403, Pastreoides59404, Pastreoides59405, Pastreoides39610, Pastreoides39611, Pastreoides39612, Pastreoides39627, Pastreoides39629, Pastreoides36586, Pastreoides36590, Pastreoides36592, Pastreoides36602, Pastreoides36604, Pastreoides36617, Pastreoides01035, Pastreoides55339, Pastreoides17847, Pastreoides17848, Pastreoides17841, Pastreoides17189, Pastreoides17196, Pastreoides60955, Pastreoides02512, Pastreoides02544, Pastreoides44483, Pastreoides51315, Pastreoides56096, Pastreoides09191, Pastreoides21957, Pastreoides24272, Pastreoides24274, Pastreoides30279, Pastreoides48707, Pastreoides49581, Pastreoides49582, Pastreoides49583, Pastreoides49597, Pastreoides27978, Pastreoides48999, Pastreoides49000, Pastreoides49017, Pastreoides20644, Pastreoides20654, Pastreoides33641, Pastreoides21229, Pastreoides14635, Pastreoides41244, Pastreoides30642, Pastreoides57522, Pastreoides59169, Pastreoides57764, Pastreoides33933, Pastreoides33935, Pastreoides13063;2.75E-12;1;147;2864;membrane;CC
GO:0008191;Pastreoides06605, Pastreoides19582, Pastreoides44077;0.000130068;0.999998427;3;5;metalloendopeptidase inhibitor activity;MF
GO:0016525;Pastreoides47035, Pastreoides47036;0.004871739;0.999888865;2;5;negative regulation of angiogenesis;BP
GO:0010951;Pastreoides06605, Pastreoides19582, Pastreoides44077;0.003019588;0.999820939;3;14;negative regulation of endopeptidase activity;BP
GO:0010466;Pastreoides06605, Pastreoides44077;0.001741773;0.999985674;2;3;negative regulation of peptidase activity;BP
GO:0042151;Pastreoides10444, Pastreoides10537, Pastreoides10841, Pastreoides10842, Pastreoides10843, Pastreoides10844, Pastreoides10847, Pastreoides09317, Pastreoides09318;0.00000038;0.999999971;9;42;nematocyst;CC
GO:0016702;Pastreoides52390, Pastreoides43380;0.003006457;0.99995388;2;4;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;MF
GO:0030414;Pastreoides07879, Pastreoides06605, Pastreoides44077;0.004517365;0.999683686;3;16;peptidase inhibitor activity;MF
GO:0006518;Pastreoides02090, Pastreoides02091;0.000498198;1;2;2;peptide metabolic process;BP
GO:0006478;Pastreoides10329, Pastreoides10367, Pastreoides28926, Pastreoides34043, Pastreoides34051;0.00000278;0.999999935;5;11;peptidyl-tyrosine sulfation;BP
GO:0016849;Pastreoides21957;0.026089515;1;1;1;phosphorus-oxygen lyase activity;MF
