"category,""over_represented_pvalue"",""under_represented_pvalue"",""numDEInCat"",""numInCat"",""term"",""ontology"""
"GO:0006886,1.44428151747802e-16,1,148,277,""intracellular protein transport"",""BP"""
"GO:0006351,1.81280559862331e-11,1,51,76,""transcription, DNA-templated"",""BP"""
"GO:0006457,2.51196106101233e-10,0.999999999939483,71,126,""protein folding"",""BP"""
"GO:0000398,4.0825376302957e-10,0.999999999901601,70,123,""mRNA splicing, via spliceosome"",""BP"""
"GO:0000045,1.22655269909708e-09,0.999999999845434,31,41,""autophagosome assembly"",""BP"""
"GO:0097352,2.82472689322497e-09,0.999999999738491,26,32,""autophagosome maturation"",""BP"""
"GO:0050821,3.76849856686427e-09,0.999999998517881,90,176,""protein stabilization"",""BP"""
"GO:0006418,1.07097213280775e-08,0.999999998926357,26,32,""tRNA aminoacylation for protein translation"",""BP"""
"GO:0006412,1.20464800403084e-08,0.999999995049429,87,182,""translation"",""BP"""
"GO:0006888,2.23929351374182e-08,0.999999993157937,55,96,""ER to Golgi vesicle-mediated transport"",""BP"""
"GO:0036258,2.27542917078633e-08,0.999999999038513,18,20,""multivesicular body assembly"",""BP"""
"GO:0007080,3.09891799817121e-08,0.999999996151205,26,34,""mitotic metaphase plate congression"",""BP"""
"GO:0051726,4.71227054186638e-08,1,113,245,""regulation of cell cycle"",""BP"""
"GO:0016192,7.27447326938442e-08,1,138,310,""vesicle-mediated transport"",""BP"""
"GO:0006511,1.21230641763067e-07,1,106,228,""ubiquitin-dependent protein catabolic process"",""BP"""
"GO:0070536,1.24021778609142e-07,0.999999988246983,21,26,""protein K63-linked deubiquitination"",""BP"""
"GO:0043066,1.38500934948457e-07,1,165,394,""negative regulation of apoptotic process"",""BP"""
"GO:0006325,1.42349055380034e-07,0.999999953156944,54,97,""chromatin organization"",""BP"""
"GO:0044154,1.72147808509489e-07,0.999999981100629,22,28,""histone H3-K14 acetylation"",""BP"""
"GO:0030433,1.88119950609974e-07,0.999999945886952,45,76,""ubiquitin-dependent ERAD pathway"",""BP"""
"GO:0016241,2.12974924254056e-07,0.99999996315925,28,40,""regulation of macroautophagy"",""BP"""
"GO:0048490,2.69940586424713e-07,0.999999987032967,16,18,""anterograde synaptic vesicle transport"",""BP"""
"GO:0043967,2.81267664609324e-07,0.999999940194409,32,49,""histone H4 acetylation"",""BP"""
"GO:0050852,2.91634682281641e-07,0.999999951214727,27,38,""T cell receptor signaling pathway"",""BP"""
"GO:1990830,4.7778550000288e-07,0.999999841932276,50,90,""cellular response to leukemia inhibitory factor"",""BP"""
"GO:0051301,6.25009247264013e-07,0.999999724779173,78,162,""cell division"",""BP"""
"GO:0042147,6.32819903600217e-07,0.999999817636747,41,70,""retrograde transport, endosome to Golgi"",""BP"""
"GO:0043162,6.46053492226653e-07,0.999999918104698,21,28,""ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"",""BP"""
"GO:0006275,6.70763729025779e-07,0.999999838187958,34,54,""regulation of DNA replication"",""BP"""
"GO:0015031,8.33147718007819e-07,1,106,240,""protein transport"",""BP"""
"GO:0006413,8.39560144504725e-07,0.999999812907476,31,48,""translational initiation"",""BP"""
"GO:0045995,8.39584400354853e-07,0.999999771108131,38,63,""regulation of embryonic development"",""BP"""
"GO:0043161,1.08525701902284e-06,0.999999534346582,72,145,""proteasome-mediated ubiquitin-dependent protein catabolic process"",""BP"""
"GO:0010498,1.49117008852969e-06,0.999999865967662,17,21,""proteasomal protein catabolic process"",""BP"""
"GO:0006383,1.5853521331558e-06,0.999999856723428,17,21,""transcription by RNA polymerase III"",""BP"""
"GO:0006364,1.67672239467647e-06,0.999999284439633,68,139,""rRNA processing"",""BP"""
"GO:0001510,1.8900284507767e-06,0.99999976456203,20,26,""RNA methylation"",""BP"""
"GO:0098761,2.00517435064896e-06,0.999999939021531,13,14,""cellular response to interleukin-7"",""BP"""
"GO:0006891,2.1431566405185e-06,0.999999659931891,22,31,""intra-Golgi vesicle-mediated transport"",""BP"""
"GO:0008333,2.22099775523743e-06,0.99999945792141,31,50,""endosome to lysosome transport"",""BP"""
