category;genes;over_represented_pvalue;under_represented_pvalue;numDEInCat;numInCat;term;ontology
GO:0016887;Pastreoides39507, Pastreoides47181, Pastreoides17987, Pastreoides17988, Pastreoides12722, Pastreoides63899, Pastreoides56842, Pastreoides46642;0.007807153;0.997771235;8;91;ATPase activity;MF
GO:0008081;Pastreoides06474, Pastreoides06476;0.007784812;0.999804286;2;4;phosphoric diester hydrolase activity;MF
GO:0004857;Pastreoides06605, Pastreoides44077;0.006748272;0.999817641;2;5;enzyme inhibitor activity;MF
GO:0006955;Pastreoides25129, Pastreoides16373, Pastreoides24272, Pastreoides24274;0.006422279;0.999159741;4;33;immune response;BP
GO:0003924;Pastreoides40391, Pastreoides20874, Pastreoides28990, Pastreoides41244, Pastreoides47067;0.005875028;0.998998513;5;45;GTPase activity;MF
GO:0008289;Pastreoides57951, Pastreoides08987, Pastreoides54014, Pastreoides33698;0.004816786;0.999434295;4;25;lipid binding;MF
GO:0030414;Pastreoides07879, Pastreoides06605, Pastreoides44077;0.004517365;0.999683686;3;16;peptidase inhibitor activity;MF
GO:0005164;Pastreoides25129, Pastreoides16373, Pastreoides24272, Pastreoides24274;0.0043839;0.999489427;4;30;tumor necrosis factor receptor binding;MF
GO:0010951;Pastreoides06605, Pastreoides19582, Pastreoides44077;0.003019588;0.999820939;3;14;negative regulation of endopeptidase activity;BP
GO:0010466;Pastreoides06605, Pastreoides44077;0.001741773;0.999985674;2;3;negative regulation of peptidase activity;BP
GO:0003779;Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004;0.001614707;0.999802717;5;31;actin binding;MF
GO:0007154;Pastreoides17846, Pastreoides17850, Pastreoides17852, Pastreoides17853, Pastreoides17841, Pastreoides17842;0.000211202;0.999980586;6;18;cell communication;BP
GO:0008191;Pastreoides06605, Pastreoides19582, Pastreoides44077;0.000130068;0.999998427;3;5;metalloendopeptidase inhibitor activity;MF
GO:0042157;Pastreoides57951, Pastreoides08987, Pastreoides54014, Pastreoides33698;6.11E-05;0.999998436;4;8;lipoprotein metabolic process;BP
GO:0005509;Pastreoides15767, Pastreoides15356, Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides21522, Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004, Pastreoides60702, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides29741, Pastreoides29748, Pastreoides48811, Pastreoides22120, Pastreoides00779, Pastreoides51593, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides44483, Pastreoides56068, Pastreoides49581, Pastreoides49597, Pastreoides49016;5.59E-05;0.999976306;32;564;calcium ion binding;MF
GO:0045104;Pastreoides02993, Pastreoides02996, Pastreoides02999, Pastreoides03002, Pastreoides03004;2.35E-05;0.999999058;5;13;intermediate filament cytoskeleton organization;BP
GO:0005886;Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides48811, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides49016;1.90E-05;0.999995278;16;188;plasma membrane;CC
GO:0007155;Pastreoides45726, Pastreoides55184, Pastreoides55189, Pastreoides59744, Pastreoides63155, Pastreoides63156, Pastreoides51527, Pastreoides29748, Pastreoides48811, Pastreoides51593, Pastreoides39610, Pastreoides39611, Pastreoides39612, Pastreoides36586, Pastreoides36592, Pastreoides36602, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides48999;1.76E-11;1;21;119;cell adhesion;BP
GO:0005044;Pastreoides45726, Pastreoides45722, Pastreoides55184, Pastreoides55188, Pastreoides55189, Pastreoides55191, Pastreoides59744, Pastreoides63156, Pastreoides48811, Pastreoides39611, Pastreoides39627, Pastreoides39629, Pastreoides36590, Pastreoides36592, Pastreoides49583, Pastreoides49597, Pastreoides49000, Pastreoides49017;1.10E-11;1;18;83;scavenger receptor activity;MF
GO:0007156;Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides48811, Pastreoides22120, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides49016;1.31E-16;1;17;39;homophilic cell adhesion via plasma membrane adhesion molecules;BP
