gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides01556,0,0,0,0,137,129,0,0,0,38,16,49
Pastreoides37429,0,34,26,527,739,484,58,44,11,424,260,404
Pastreoides01118,0,3,3,2,5,0,18,3,2,0,5,9
Pastreoides47565,0,50,134,1549,1743,1679,103,32,22,2129,1323,2317
Pastreoides47564,0,162,269,2045,2112,1708,326,99,26,2452,1623,2461
Pastreoides48395,0,17,18,11,11,35,0,20,9,310,132,431
Pastreoides47566,8,221,397,6609,7707,8243,592,163,35,9152,5400,9314
Pastreoides27916,0,211,413,2626,3247,3742,751,107,19,4943,2785,4560
Pastreoides27917,0,108,96,2401,2852,2061,224,116,19,2008,1315,2009
Pastreoides47563,0,26,25,62,71,174,84,75,11,190,111,177
Pastreoides48390,45,114,159,58,32,23,114,86,13,30,20,67
Pastreoides51788,6,229,287,502,540,814,452,104,37,806,430,1238
Pastreoides27918,22,200,461,867,1035,2304,644,148,60,1547,929,1923
Pastreoides27919,0,0,19,180,245,317,34,17,0,201,106,168
Pastreoides47569,0,49,56,398,350,594,66,0,0,453,225,611
Pastreoides47568,0,14,19,67,103,143,17,2,0,96,57,137
Pastreoides48399,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides48398,0,0,5,0,1,0,6,0,6,2,0,2
Pastreoides55514,0,3,3,11,15,11,6,3,1,11,7,11
Pastreoides27010,0,0,18,0,300,273,0,23,0,0,171,207
Pastreoides54024,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides13213,0,0,0,0,7,0,0,0,0,11,0,0
Pastreoides30307,0,151,308,1763,2282,1152,463,170,29,1064,632,1429
Pastreoides31529,0,114,351,968,791,1118,409,87,39,1204,702,1345
Pastreoides62478,0,0,0,0,0,0,9,9,0,0,0,0
Pastreoides62479,0,0,0,2,0,0,11,8,0,0,0,0
Pastreoides22249,0,0,0,0,0,0,0,0,1,0,0,0
Pastreoides22248,0,0,0,0,0,0,2,0,0,0,0,0
Pastreoides54025,0,12,21,844,306,937,53,0,0,510,279,411
Pastreoides22245,0,0,0,0,0,0,0,0,0,1,0,0
Pastreoides22244,0,0,15,53,33,0,20,11,0,42,19,13
Pastreoides22247,0,0,0,7,0,0,3,0,0,0,0,0
Pastreoides22246,0,1,0,0,0,0,0,0,0,0,0,0
Pastreoides22241,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides22240,0,0,0,7,0,6,0,0,0,0,0,0
Pastreoides22243,0,0,0,0,11,0,0,0,0,0,0,0
Pastreoides22242,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides63887,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides15390,0,38,94,41,111,118,117,27,7,170,78,184
Pastreoides03803,0,0,0,0,0,0,6,0,0,0,0,0
Pastreoides59852,0,0,0,4,7,4,0,1,0,8,1,3
Pastreoides27912,0,7,2,9,6,6,12,5,0,9,4,9
