sample;pair;file
D20;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D20/D20_S3_L001_R1_001.fastq.gz
D20;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D20/D20_S3_L002_R1_001.fastq.gz
D20;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D20/D20_S3_L001_R2_001.fastq.gz
D20;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D20/D20_S3_L002_R2_001.fastq.gz
D21;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D21/D21_S1_L001_R1_001.fastq.gz
D21;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D21/D21_S1_L002_R1_001.fastq.gz
D21;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D21/D21_S1_L001_R2_001.fastq.gz
D21;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D21/D21_S1_L002_R2_001.fastq.gz
D22;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D22/D22_S2_L001_R1_001.fastq.gz
D22;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D22/D22_S2_L002_R1_001.fastq.gz
D22;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D22/D22_S2_L001_R2_001.fastq.gz
D22;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/D22/D22_S2_L002_R2_001.fastq.gz
L7;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L7/L7_S_L001_R1_001.fastq.gz
L7;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L7/L7_S_L002_R1_001.fastq.gz
L7;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L7/L7_S_L001_R2_001.fastq.gz
L7;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L7/L7_S_L002_R2_001.fastq.gz
L8;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L8/L8_S_L001_R1_001.fastq.gz
L8;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L8/L8_S_L002_R1_001.fastq.gz
L8;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L8/L8_S_L001_R2_001.fastq.gz
L8;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L8/L8_S_L002_R2_001.fastq.gz
L9;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L9/L9_S_L001_R1_001.fastq.gz
L9;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L9/L9_S_L002_R1_001.fastq.gz
L9;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L9/L9_S_L001_R2_001.fastq.gz
L9;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/L9/L9_S_L002_R2_001.fastq.gz
R13B;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R13B/R13B_S3B_L001_R1_001.fastq.gz
R13B;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R13B/R13B_S3B_L002_R1_001.fastq.gz
R13B;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R13B/R13B_S3B_L001_R2_001.fastq.gz
R13B;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R13B/R13B_S3B_L002_R2_001.fastq.gz
R15B;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R15B/R15B_S5B_L001_R1_001.fastq.gz
R15B;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R15B/R15B_S5B_L002_R1_001.fastq.gz
R15B;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R15B/R15B_S5B_L001_R2_001.fastq.gz
R15B;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R15B/R15B_S5B_L002_R2_001.fastq.gz
R33;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R33/R33_S3_L001_R1_001.fastq.gz
R33;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R33/R33_S3_L002_R1_001.fastq.gz
R33;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R33/R33_S3_L001_R2_001.fastq.gz
R33;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/R33/R33_S3_L002_R2_001.fastq.gz
S4;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S4/S4_S_L001_R1_001.fastq.gz
S4;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S4/S4_S_L002_R1_001.fastq.gz
S4;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S4/S4_S_L001_R2_001.fastq.gz
S4;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S4/S4_S_L002_R2_001.fastq.gz
S5;1;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S5/S5_S_L001_R1_001.fastq.gz
S5;2;/data/home/mass/tmass/rawdata20210721/210726_A00929_0394_BHG3TFDRXY/fastq/S5/S5_S_L002_R1_001.fastq.gz
