category;genes;over_represented_pvalue;under_represented_pvalue;numDEInCat;numInCat;term;ontology
GO:0004857;Pastreoides06605;0.013041295;0.999931975;1;5;enzyme inhibitor activity;MF
GO:0005634;Pastreoides32161, Pastreoides39189, Pastreoides31698, Pastreoides48118;0.011621681;0.998095866;4;317;nucleus;CC
GO:0005925;Pastreoides13513;0.002085332;1;1;1;focal adhesion;CC
GO:0005938;Pastreoides13513;0.002085332;1;1;1;cell cortex;CC
GO:0006355;Pastreoides32161, Pastreoides39189, Pastreoides48118;0.001427513;0.99992628;3;86;regulation of transcription, DNA-templated;BP
GO:0007160;Pastreoides13513;0.021236512;0.999796539;1;10;cell-matrix adhesion;BP
GO:0008191;Pastreoides06605, Pastreoides19582;0;0.999999862;2;5;metalloendopeptidase inhibitor activity;MF
GO:0010466;Pastreoides06605;0.007276486;0.999982388;1;3;negative regulation of peptidase activity;BP
GO:0010951;Pastreoides06605, Pastreoides19582;0.000452822;0.999995958;2;14;negative regulation of endopeptidase activity;BP
GO:0016180;Pastreoides31698;0.002266876;1;1;1;snRNA processing;BP
GO:0019222;Pastreoides23678;0.009622675;0.999969167;1;3;regulation of metabolic process;BP
GO:0030414;Pastreoides06605;0.035518185;0.999404229;1;16;peptidase inhibitor activity;MF
GO:0032039;Pastreoides31698;0.002266876;1;1;1;integrator complex;CC
GO:0006689;Pastreoides14297;0.002490953;0.999998466;1;2;ganglioside catabolic process;BP
GO:0016829;Pastreoides49784, Pastreoides49786;0.001001161;0.999985787;2;36;lyase activity;MF
GO:0005164;Pastreoides10651;-0.036845193;0.999343271;1;30;tumor necrosis factor receptor binding;MF
GO:0005576;Pastreoides06004, Pastreoides06002;-0.016351194;0.998993944;2;154;extracellular region;CC
GO:0006955;Pastreoides10651;-0.040481657;0.999203754;1;33;immune response;BP
GO:0008047;Pastreoides14297;-0.003732536;0.999995404;1;3;enzyme activator activity;MF
GO:0090263;Pastreoides17712;-0.006455214;0.99998349;1;5;positive regulation of canonical Wnt signaling pathway;BP
